"","ID","nLoans","Number_of_Loan","Start","Paid","Duration"
"1",1010631054,7,1,2015-03-03,2015-03-24,21
"2",1010631054,7,2,2015-03-27,2015-04-14,18
"3",1010631054,7,3,2015-04-15,2015-04-30,15
"4",1010631054,7,4,2015-05-01,2015-05-13,12
"5",1010631054,7,5,2015-05-17,2015-05-28,11
"6",1010631054,7,6,2015-07-09,2015-08-07,29
"7",1011938779,2,1,2015-03-07,2015-03-11,4
"8",1023186466,3,1,2015-02-17,2015-04-08,50
"9",1023186466,3,2,2015-04-13,2015-05-05,22
"10",1047997155,10,1,2015-03-12,2015-03-25,13
"11",1047997155,10,2,2015-03-25,2015-04-03,9
"12",1047997155,10,3,2015-04-03,2015-04-10,7
"13",1047997155,10,4,2015-04-10,2015-04-18,8
"14",1047997155,10,5,2015-04-18,2015-05-11,23
"15",1047997155,10,6,2015-05-11,2015-05-28,17
"16",1047997155,10,7,2015-05-29,2015-06-21,23
"17",1047997155,10,8,2015-06-21,2015-07-15,24
"18",1047997155,10,9,2015-07-15,2015-08-15,31
"19",1064638493,3,1,2015-04-19,2015-05-13,24
"20",1064638493,3,2,2015-05-13,2015-06-12,30
"21",1064638493,3,3,2015-06-12,2015-07-15,33
"22",1084690398,8,1,2015-02-12,2015-02-20,8
"23",1084690398,8,2,2015-02-21,2015-02-28,7
"24",1084690398,8,3,2015-02-28,2015-03-09,9
"25",1084690398,8,4,2015-03-09,2015-03-30,21
"26",1084690398,8,5,2015-03-30,2015-04-22,23
"27",1084690398,8,6,2015-04-23,2015-04-25,2
"28",1084690398,8,7,2015-04-25,2015-08-10,107
"29",1104389006,3,1,2015-06-10,2015-07-10,30
"30",1104389006,3,2,2015-07-19,2015-08-08,20
"31",1107199557,6,1,2015-05-02,2015-05-26,24
"32",1107199557,6,2,2015-05-27,2015-06-03,7
"33",1107199557,6,3,2015-06-05,2015-06-20,15
"34",1107199557,6,4,2015-06-20,2015-07-09,19
"35",1107199557,6,5,2015-07-10,2015-08-02,23
"36",1121771521,2,1,2015-06-23,2015-07-09,16
"37",1135111501,1,1,2014-06-24,2014-07-26,32
"38",1174725935,1,1,2015-07-28,2015-08-18,21
"39",1181013496,10,1,2015-04-02,2015-04-09,7
"40",1181013496,10,2,2015-04-09,2015-04-15,6
"41",1181013496,10,3,2015-04-15,2015-04-22,7
"42",1181013496,10,4,2015-04-22,2015-04-29,7
"43",1181013496,10,5,2015-04-30,2015-05-07,7
"44",1181013496,10,6,2015-05-07,2015-05-14,7
"45",1181013496,10,7,2015-05-14,2015-05-20,6
"46",1181013496,10,8,2015-05-20,2015-05-27,7
"47",1181013496,10,9,2015-05-27,2015-06-03,7
"48",1183321030,3,1,2014-06-16,2014-07-02,16
"49",1183321030,3,2,2014-07-03,2014-07-15,12
"50",1197328073,3,1,2015-07-18,2015-08-08,21
"51",1197328073,3,2,2015-08-09,2015-08-15,6
"52",1212953829,5,1,2015-02-18,2015-03-04,14
"53",1212953829,5,2,2015-03-04,2015-03-22,18
"54",1212953829,5,3,2015-03-23,2015-04-07,15
"55",1212953829,5,4,2015-04-08,2015-04-30,22
"56",1229057799,13,1,2015-03-24,2015-04-06,13
"57",1229057799,13,2,2015-04-08,2015-04-20,12
"58",1229057799,13,3,2015-04-20,2015-04-30,10
"59",1229057799,13,4,2015-05-01,2015-05-15,14
"60",1229057799,13,5,2015-05-15,2015-05-27,12
"61",1229057799,13,6,2015-05-27,2015-06-05,9
"62",1229057799,13,7,2015-06-06,2015-06-10,4
"63",1229057799,13,8,2015-06-10,2015-06-17,7
"64",1229057799,13,9,2015-06-17,2015-06-27,10
"65",1229057799,13,10,2015-06-27,2015-07-11,14
"66",1229057799,13,11,2015-07-11,2015-07-21,10
"67",1229057799,13,12,2015-07-21,2015-08-04,14
"68",1272813046,4,1,2015-02-10,2015-03-03,21
"69",1272813046,4,2,2015-05-13,2015-06-01,19
"70",1272813046,4,3,2015-06-01,2015-06-13,12
"71",1283470047,4,1,2015-05-21,2015-06-07,17
"72",1283470047,4,2,2015-06-08,2015-06-29,21
"73",1283470047,4,3,2015-07-09,2015-07-30,21
"74",1287191810,7,1,2015-03-27,2015-04-07,11
"75",1287191810,7,2,2015-04-07,2015-04-21,14
"76",1287191810,7,3,2015-04-21,2015-05-05,14
"77",1287191810,7,4,2015-05-05,2015-05-22,17
"78",1287191810,7,5,2015-05-22,2015-06-11,20
"79",1287191810,7,6,2015-06-11,2015-06-30,19
"80",1288086652,4,1,2015-07-08,2015-07-14,6
"81",1288086652,4,2,2015-07-15,2015-07-16,1
"82",1288086652,4,3,2015-07-21,2015-07-27,6
"83",1288086652,4,4,2015-08-07,2015-08-12,5
"84",1289196041,11,1,2015-02-08,2015-02-27,19
"85",1289196041,11,2,2015-02-27,2015-03-13,14
"86",1289196041,11,3,2015-03-13,2015-04-01,19
"87",1289196041,11,4,2015-04-01,2015-04-22,21
"88",1289196041,11,5,2015-04-24,2015-05-15,21
"89",1289196041,11,6,2015-05-15,2015-06-05,21
"90",1289196041,11,7,2015-06-05,2015-06-27,22
"91",1289196041,11,8,2015-06-27,2015-07-13,16
"92",1289196041,11,9,2015-07-13,2015-08-02,20
"93",1289196041,11,10,2015-08-03,2015-08-11,8
"94",1295557792,7,1,2015-04-22,2015-05-11,19
"95",1295557792,7,2,2015-05-11,2015-05-18,7
"96",1295557792,7,3,2015-05-18,2015-05-25,7
"97",1295557792,7,4,2015-05-25,2015-06-09,15
"98",1295557792,7,5,2015-06-09,2015-06-27,18
"99",1295557792,7,6,2015-06-27,2015-07-11,14
"100",1299427536,1,1,2014-07-23,2014-09-03,42
"101",1314735035,2,1,2015-07-17,2015-08-09,23
"102",1355461896,3,1,2015-06-20,2015-07-08,18
"103",1355461896,3,2,2015-07-08,2015-08-05,28
"104",1361970426,7,1,2015-05-12,2015-05-19,7
"105",1361970426,7,2,2015-05-19,2015-05-19,0
"106",1361970426,7,3,2015-05-19,2015-05-21,2
"107",1361970426,7,4,2015-05-21,2015-05-25,4
"108",1361970426,7,5,2015-05-25,2015-06-03,9
"109",1361970426,7,6,2015-06-04,2015-06-16,12
"110",1389690912,5,1,2015-04-12,2015-05-04,22
"111",1389690912,5,2,2015-05-12,2015-06-03,22
"112",1389690912,5,3,2015-06-07,2015-07-04,27
"113",1389690912,5,4,2015-07-05,2015-07-06,1
"114",1415981696,3,1,2015-07-13,2015-08-05,23
"115",1415981696,3,2,2015-08-07,2015-08-14,7
"116",1424189176,2,1,2015-05-04,2015-05-27,23
"117",1424189176,2,2,2015-06-18,2015-07-17,29
"118",1447788669,7,1,2015-04-25,2015-05-08,13
"119",1447788669,7,2,2015-05-08,2015-05-22,14
"120",1447788669,7,3,2015-05-22,2015-06-10,19
"121",1447788669,7,4,2015-06-11,2015-07-01,20
"122",1447788669,7,5,2015-07-01,2015-07-20,19
"123",1447788669,7,6,2015-07-20,2015-08-10,21
"124",1463175554,4,1,2015-03-19,2015-04-10,22
"125",1463175554,4,2,2015-04-10,2015-04-30,20
"126",1463175554,4,3,2015-05-05,2015-05-25,20
"127",1463175554,4,4,2015-05-25,2015-06-17,23
"128",1464733109,4,1,2015-07-15,2015-07-24,9
"129",1464733109,4,2,2015-07-24,2015-08-08,15
"130",1464733109,4,3,2015-08-08,2015-08-15,7
"131",1497166208,6,1,2015-03-29,2015-04-17,19
"132",1497166208,6,2,2015-05-10,2015-05-31,21
"133",1497166208,6,3,2015-06-02,2015-06-23,21
"134",1497166208,6,4,2015-06-27,2015-07-19,22
"135",1497166208,6,5,2015-07-20,2015-08-11,22
"136",1512836830,6,1,2014-07-22,2014-08-02,11
"137",1512836830,6,2,2014-08-11,2014-08-19,8
"138",1512836830,6,3,2014-08-19,2014-09-02,14
"139",1512836830,6,4,2014-09-10,2014-09-30,20
"140",1512836830,6,5,2014-10-01,2014-10-31,30
"141",1513646713,3,1,2015-05-17,2015-05-25,8
"142",1513646713,3,2,2015-05-29,2015-06-05,7
"143",1513646713,3,3,2015-06-05,2015-08-19,75
"144",1532148947,2,1,2015-03-12,2015-03-25,13
"145",1537018341,3,1,2014-08-13,2014-09-20,38
"146",1537018341,3,2,2014-09-20,2014-10-11,21
"147",1537358892,12,1,2015-04-18,2015-05-04,16
"148",1537358892,12,2,2015-05-04,2015-05-18,14
"149",1537358892,12,3,2015-05-18,2015-05-30,12
"150",1537358892,12,4,2015-05-30,2015-06-10,11
"151",1537358892,12,5,2015-06-10,2015-06-25,15
"152",1537358892,12,6,2015-06-25,2015-07-03,8
"153",1537358892,12,7,2015-07-03,2015-07-18,15
"154",1537358892,12,8,2015-07-18,2015-08-14,27
"155",1546979501,9,1,2015-04-09,2015-04-22,13
"156",1546979501,9,2,2015-04-23,2015-05-07,14
"157",1546979501,9,3,2015-05-07,2015-05-26,19
"158",1546979501,9,4,2015-05-26,2015-06-09,14
"159",1546979501,9,5,2015-06-11,2015-06-25,14
"160",1546979501,9,6,2015-06-25,2015-07-16,21
"161",1546979501,9,7,2015-07-18,2015-07-25,7
"162",1546979501,9,8,2015-07-25,2015-08-15,21
"163",1557058434,8,1,2015-03-03,2015-03-18,15
"164",1557058434,8,2,2015-03-19,2015-03-29,10
"165",1557058434,8,3,2015-03-30,2015-04-08,9
"166",1557058434,8,4,2015-04-08,2015-04-29,21
"167",1557058434,8,5,2015-04-30,2015-05-21,21
"168",1557058434,8,6,2015-05-21,2015-06-05,15
"169",1557058434,8,7,2015-06-06,2015-07-02,26
"170",1557417067,7,1,2015-06-17,2015-06-21,4
"171",1557417067,7,2,2015-06-21,2015-06-25,4
"172",1557417067,7,3,2015-06-25,2015-07-09,14
"173",1557417067,7,4,2015-07-09,2015-07-28,19
"174",1557417067,7,5,2015-07-14,2015-08-11,28
"175",1581673854,3,1,2015-06-24,2015-07-11,17
"176",1581673854,3,2,2015-07-12,2015-07-30,18
"177",1584290807,2,1,2015-03-08,2015-03-29,21
"178",1586610549,7,1,2015-05-28,2015-06-13,16
"179",1586610549,7,2,2015-06-13,2015-06-20,7
"180",1586610549,7,3,2015-06-20,2015-06-27,7
"181",1586610549,7,4,2015-06-27,2015-07-03,6
"182",1586610549,7,5,2015-07-03,2015-07-03,0
"183",1586610549,7,6,2015-07-03,2015-07-15,12
"184",1612135424,3,1,2014-07-24,2014-11-09,108
"185",1612135424,3,2,2015-03-11,2015-08-05,147
"186",1615532287,7,1,2015-06-13,2015-06-16,3
"187",1615532287,7,2,2015-06-17,2015-06-30,13
"188",1615532287,7,3,2015-06-30,2015-07-08,8
"189",1615532287,7,4,2015-07-08,2015-07-18,10
"190",1615532287,7,5,2015-07-18,2015-07-24,6
"191",1615532287,7,6,2015-07-24,2015-08-12,19
"192",1628091660,2,1,2015-07-16,2015-08-10,25
"193",1635947875,5,1,2015-02-28,2015-03-14,14
"194",1635947875,5,2,2015-03-14,2015-03-21,7
"195",1635947875,5,3,2015-03-21,2015-03-30,9
"196",1635947875,5,4,2015-03-30,2015-04-12,13
"197",1647229846,6,1,2015-04-24,2015-05-09,15
"198",1647229846,6,2,2015-05-10,2015-05-31,21
"199",1647229846,6,3,2015-05-31,2015-06-17,17
"200",1647229846,6,4,2015-06-18,2015-07-06,18
"201",1647229846,6,5,2015-07-06,2015-07-27,21
"202",1649825327,2,1,2015-07-23,2015-07-29,6
"203",1660359942,2,1,2015-06-23,2015-07-05,12
"204",1661126978,2,1,2015-07-10,2015-07-31,21
"205",1661126978,2,2,2015-08-07,2015-08-13,6
"206",1670455912,2,1,2015-05-30,2015-06-12,13
"207",1704712487,9,1,2015-02-10,2015-02-24,14
"208",1704712487,9,2,2015-02-24,2015-03-13,17
"209",1704712487,9,3,2015-03-13,2015-03-25,12
"210",1704712487,9,4,2015-03-25,2015-04-11,17
"211",1704712487,9,5,2015-04-16,2015-04-28,12
"212",1704712487,9,6,2015-05-01,2015-05-27,26
"213",1704712487,9,7,2015-05-31,2015-06-20,20
"214",1704712487,9,8,2015-06-20,2015-07-29,39
"215",1733220813,3,1,2015-07-14,2015-08-04,21
"216",1733220813,3,2,2015-08-08,2015-08-16,8
"217",1743432522,10,1,2015-03-30,2015-04-10,11
