"","ID","nLoans","Number_of_Loan","Start","Paid","Duration"
"1",1006266651,1,1,2015-07-22,NA,NA
"2",1010631054,7,7,2015-08-08,NA,NA
"3",1011938779,2,2,2015-03-11,NA,NA
"4",1023186466,3,3,2015-05-05,NA,NA
"5",1047997155,10,10,2015-08-15,NA,NA
"6",1048099395,1,1,2015-04-01,NA,NA
"7",1066585922,1,1,2015-07-15,NA,NA
"8",1084690398,8,8,2015-08-11,NA,NA
"9",1090396622,1,1,2014-08-21,NA,NA
"10",1096962239,1,1,2014-07-19,NA,NA
"11",1104389006,3,3,2015-08-08,NA,NA
"12",1107199557,6,6,2015-08-09,NA,NA
"13",1112017768,1,1,2015-05-28,NA,NA
"14",1121771521,2,2,2015-07-09,NA,NA
"15",1177471131,1,1,2014-08-19,NA,NA
"16",1180207250,1,1,2014-11-11,NA,NA
"17",1181013496,10,10,2015-06-03,NA,NA
"18",1183321030,3,3,2014-10-14,NA,NA
"19",1197328073,3,3,2015-08-15,NA,NA
"20",1212953829,5,5,2015-05-23,NA,NA
"21",1229057799,13,13,2015-08-04,NA,NA
"22",1272813046,4,4,2015-06-13,NA,NA
"23",1280507511,1,1,2014-10-01,NA,NA
"24",1283470047,4,4,2015-08-04,NA,NA
"25",1287191810,7,7,2015-06-30,NA,NA
"26",1289196041,11,11,2015-08-13,NA,NA
"27",1295557792,7,7,2015-07-11,NA,NA
"28",1307595846,1,1,2015-07-17,NA,NA
"29",1309607936,1,1,2015-03-28,NA,NA
"30",1314735035,2,2,2015-08-09,NA,NA
"31",1315659637,1,1,2015-05-01,NA,NA
"32",1316512614,1,1,2014-08-25,NA,NA
"33",1341618714,1,1,2014-05-08,NA,NA
"34",1355461896,3,3,2015-08-06,NA,NA
"35",1361970426,7,7,2015-06-16,NA,NA
"36",1389690912,5,5,2015-07-06,NA,NA
"37",1415981696,3,3,2015-08-14,NA,NA
"38",1433787755,1,1,2015-07-15,NA,NA
"39",1440291623,1,1,2015-03-26,NA,NA
"40",1447788669,7,7,2015-08-10,NA,NA
"41",1459514671,1,1,2014-10-01,NA,NA
"42",1464733109,4,4,2015-08-15,NA,NA
"43",1482204423,1,1,2014-07-13,NA,NA
"44",1497166208,6,6,2015-08-11,NA,NA
"45",1512042465,1,1,2015-04-14,NA,NA
"46",1512836830,6,6,2014-10-31,NA,NA
"47",1516706338,1,1,2014-08-29,NA,NA
"48",1532148947,2,2,2015-03-25,NA,NA
"49",1537018341,3,3,2014-10-11,NA,NA
"50",1537358892,12,9,2015-07-20,NA,NA
"51",1537358892,12,10,2015-07-20,NA,NA
"52",1537358892,12,11,2015-07-24,NA,NA
"53",1537358892,12,12,2015-08-15,NA,NA
"54",1546979501,9,9,2015-08-15,NA,NA
"55",1557058434,8,8,2015-07-03,NA,NA
"56",1557417067,7,6,2015-07-28,NA,NA
"57",1557417067,7,7,2015-08-11,NA,NA
"58",1581673854,3,3,2015-07-30,NA,NA
"59",1584290807,2,2,2015-04-01,NA,NA
"60",1586610549,7,7,2015-07-15,NA,NA
"61",1612135424,3,3,2015-08-06,NA,NA
"62",1615532287,7,7,2015-08-14,NA,NA
"63",1616151767,1,1,2015-04-03,NA,NA
"64",1628091660,2,2,2015-08-12,NA,NA
"65",1635947875,5,5,2015-04-14,NA,NA
"66",1647229846,6,6,2015-08-01,NA,NA
"67",1648126910,1,1,2015-07-21,NA,NA
"68",1649825327,2,2,2015-07-30,NA,NA
"69",1654887836,1,1,2015-02-03,NA,NA
"70",1660359942,2,2,2015-07-05,NA,NA
"71",1661102022,1,1,2014-06-16,NA,NA
"72",1670455912,2,2,2015-08-04,NA,NA
"73",1672596057,1,1,2014-09-25,NA,NA
"74",1676546225,1,1,2015-07-06,NA,NA
"75",1704712487,9,9,2015-07-29,NA,NA
"76",1707284761,1,1,2015-07-12,NA,NA
"77",1716829174,1,1,2015-02-26,NA,NA
"78",1733220813,3,3,2015-08-16,NA,NA
"79",1743432522,10,10,2015-08-14,NA,NA
"80",1757809206,1,1,2015-07-23,NA,NA
"81",1775406254,1,1,2014-09-22,NA,NA
"82",1777949145,7,7,2015-08-15,NA,NA
"83",1782793085,8,8,2015-07-13,NA,NA
"84",1784191842,5,5,2015-08-05,NA,NA
"85",1795159548,1,1,2015-07-17,NA,NA
"86",1798185475,1,1,2015-03-26,NA,NA
"87",1800018025,4,4,2015-08-07,NA,NA
"88",1801624265,1,1,2015-05-20,NA,NA
"89",1802377828,3,3,2015-07-13,NA,NA
"90",1810034989,6,6,2015-08-18,NA,NA
"91",1810141165,1,1,2015-07-27,NA,NA
"92",1817487983,20,19,2015-07-11,NA,NA
"93",1817487983,20,20,2015-08-08,NA,NA
"94",1832279919,2,2,2014-12-12,NA,NA
"95",1838116247,8,8,2015-08-05,NA,NA
"96",1838953053,2,2,2015-07-29,NA,NA
"97",1853627736,3,3,2015-07-03,NA,NA
"98",1862148446,4,4,2015-08-16,NA,NA
"99",1868497628,2,2,2014-11-26,NA,NA
"100",1884909893,3,3,2015-08-01,NA,NA
"101",1892163498,1,1,2014-06-16,NA,NA
"102",1907063151,3,3,2015-07-28,NA,NA
"103",1909028856,7,7,2015-07-15,NA,NA
"104",1910843118,2,2,2015-05-19,NA,NA
"105",1911454239,1,1,2014-06-01,NA,NA
"106",1921206894,3,3,2015-08-10,NA,NA
"107",1931231157,4,4,2015-07-29,NA,NA
"108",1932568661,4,4,2015-08-18,NA,NA
"109",1957977001,1,1,2014-08-25,NA,NA
"110",1959560917,2,2,2015-06-08,NA,NA
"111",1963789232,1,1,2015-04-27,NA,NA
"112",1975138991,3,3,2015-08-06,NA,NA
"113",1983538252,16,16,2015-06-02,NA,NA
"114",1987351715,15,15,2015-08-19,NA,NA
"115",1998097878,8,8,2015-08-17,NA,NA
"116",2001759865,3,3,2015-06-15,NA,NA
"117",2003490834,3,3,2015-08-07,NA,NA
"118",2010370470,2,2,2015-06-05,NA,NA
"119",2016018499,1,1,2015-04-27,NA,NA
"120",2033348143,1,1,2015-04-30,NA,NA
"121",2037137184,2,2,2015-07-05,NA,NA
"122",2046310222,12,12,2015-08-18,NA,NA
"123",2048939339,2,2,2015-03-20,NA,NA
"124",2063379792,6,6,2015-06-06,NA,NA
"125",2121469740,2,2,2015-08-11,NA,NA
"126",2133314717,3,3,2015-05-20,NA,NA
"127",2136127632,2,2,2015-07-13,NA,NA
"128",2151054057,5,5,2014-12-19,NA,NA
"129",2158215982,4,4,2015-08-14,NA,NA
"130",2172723080,3,2,2015-07-21,NA,NA
"131",2172723080,3,3,2015-08-15,NA,NA
"132",2174427212,5,5,2015-08-03,NA,NA
"133",2182911230,1,1,2015-06-29,NA,NA
"134",2191396226,4,4,2015-05-23,NA,NA
"135",2201817874,2,2,2015-06-23,NA,NA
"136",2235447216,2,2,2015-08-07,NA,NA
"137",2246622383,2,2,2015-08-04,NA,NA
"138",2257223953,6,6,2015-08-03,NA,NA
"139",2258471198,6,6,2015-08-14,NA,NA
"140",2269998618,3,3,2015-08-02,NA,NA
"141",2278919539,1,1,2014-10-10,NA,NA
"142",2283557917,7,7,2014-09-25,NA,NA
"143",2300851247,2,2,2015-07-15,NA,NA
"144",2320175519,6,6,2015-08-17,NA,NA
"145",2327560619,3,3,2015-02-23,NA,NA
